TimeStep,X,Y,Battery,Speed,Distance,Minerals,Action,TimeOfDay,Timestamp
0,32,34,100,0,0,0,START,DAY,00:00
1,31,34,100,1,1,0,MOVE_1,DAY,00:30
2,31,34,100,0,1,1,MINE,DAY,01:00
3,30,34,100,1,2,1,MOVE_1,DAY,01:30
4,30,34,100,0,2,2,MINE,DAY,02:00
5,29,34,100,1,3,2,MOVE_1,DAY,02:30
6,29,34,100,0,3,3,MINE,DAY,03:00
7,29,35,100,1,4,3,MOVE_1,DAY,03:30
8,29,35,100,0,4,4,MINE,DAY,04:00
9,30,35,100,1,5,4,MOVE_1,DAY,04:30
10,30,35,100,0,5,5,MINE,DAY,05:00
11,29,36,100,1,6,5,MOVE_1,DAY,05:30
12,28,37,100,1,7,5,MOVE_1,DAY,06:00
13,29,38,100,1,8,5,MOVE_1,DAY,06:30
14,29,39,100,1,9,5,MOVE_1,DAY,07:00
15,29,39,100,0,9,6,MINE,DAY,07:30
16,28,39,100,1,10,6,MOVE_1,DAY,08:00
17,28,39,100,0,10,7,MINE,DAY,08:30
18,27,39,100,1,11,7,MOVE_1,DAY,09:00
19,27,39,100,0,11,8,MINE,DAY,09:30
20,26,39,100,1,12,8,MOVE_1,DAY,10:00
21,26,39,100,0,12,9,MINE,DAY,10:30
22,27,40,100,1,13,9,MOVE_1,DAY,11:00
23,27,40,100,0,13,10,MINE,DAY,11:30
24,26,40,100,1,14,10,MOVE_1,DAY,12:00
25,26,40,100,0,14,11,MINE,DAY,12:30
26,27,39,100,1,15,11,MOVE_1,DAY,13:00
27,28,40,100,1,16,11,MOVE_1,DAY,13:30
28,28,40,100,0,16,12,MINE,DAY,14:00
29,29,40,100,1,17,12,MOVE_1,DAY,14:30
30,29,40,100,0,17,13,MINE,DAY,15:00
31,30,39,100,1,18,13,MOVE_1,DAY,15:30
32,31,39,100,1,19,13,MOVE_1,NIGHT,16:00
33,32,39,98,1,20,13,MOVE_1,NIGHT,16:30
34,33,40,96,1,21,13,MOVE_1,NIGHT,17:00
35,34,41,94,1,22,13,MOVE_1,NIGHT,17:30
36,34,41,92,0,22,14,MINE,NIGHT,18:00
37,34,40,90,1,23,14,MOVE_1,NIGHT,18:30
38,34,40,88,0,23,15,MINE,NIGHT,19:00
39,34,39,86,1,24,15,MOVE_1,NIGHT,19:30
40,34,39,84,0,24,16,MINE,NIGHT,20:00
41,35,39,82,1,25,16,MOVE_1,NIGHT,20:30
42,35,39,80,0,25,17,MINE,NIGHT,21:00
43,35,40,78,1,26,17,MOVE_1,NIGHT,21:30
44,35,40,76,0,26,18,MINE,NIGHT,22:00
45,35,41,74,1,27,18,MOVE_1,NIGHT,22:30
46,35,41,72,0,27,19,MINE,NIGHT,23:00
47,34,42,70,1,28,19,MOVE_1,NIGHT,23:30
48,34,42,68,0,28,20,MINE,DAY,24:00
49,34,43,76,1,29,20,MOVE_1,DAY,24:30
50,34,43,84,0,29,21,MINE,DAY,25:00
51,34,44,92,1,30,21,MOVE_1,DAY,25:30
52,34,44,100,0,30,22,MINE,DAY,26:00
53,35,43,100,1,31,22,MOVE_1,DAY,26:30
54,35,43,100,0,31,23,MINE,DAY,27:00
55,35,42,100,1,32,23,MOVE_1,DAY,27:30
56,35,42,100,0,32,24,MINE,DAY,28:00
57,36,41,100,1,33,24,MOVE_1,DAY,28:30
58,36,41,100,0,33,25,MINE,DAY,29:00
59,36,42,100,1,34,25,MOVE_1,DAY,29:30
60,36,42,100,0,34,26,MINE,DAY,30:00
61,36,43,100,1,35,26,MOVE_1,DAY,30:30
62,36,43,100,0,35,27,MINE,DAY,31:00
63,37,44,100,1,36,27,MOVE_1,DAY,31:30
64,37,44,100,0,36,28,MINE,DAY,32:00
65,36,45,100,1,37,28,MOVE_1,DAY,32:30
66,36,45,100,0,37,29,MINE,DAY,33:00
67,36,46,100,1,38,29,MOVE_1,DAY,33:30
68,36,46,100,0,38,30,MINE,DAY,34:00
69,36,47,100,1,39,30,MOVE_1,DAY,34:30
70,36,47,100,0,39,31,MINE,DAY,35:00
71,37,46,100,1,40,31,MOVE_1,DAY,35:30
72,37,46,100,0,40,32,MINE,DAY,36:00
73,37,45,100,1,41,32,MOVE_1,DAY,36:30
74,37,45,100,0,41,33,MINE,DAY,37:00
75,38,44,100,1,42,33,MOVE_1,DAY,37:30
76,38,44,100,0,42,34,MINE,DAY,38:00
77,37,43,100,1,43,34,MOVE_1,DAY,38:30
78,37,43,100,0,43,35,MINE,DAY,39:00
79,37,42,100,1,44,35,MOVE_1,DAY,39:30
80,37,42,100,0,44,36,MINE,NIGHT,40:00
81,37,41,98,1,45,36,MOVE_1,NIGHT,40:30
82,37,41,96,0,45,37,MINE,NIGHT,41:00
83,38,42,94,1,46,37,MOVE_1,NIGHT,41:30
84,39,43,92,1,47,37,MOVE_1,NIGHT,42:00
85,40,44,90,1,48,37,MOVE_1,NIGHT,42:30
86,40,44,88,0,48,38,MINE,NIGHT,43:00
87,40,45,86,1,49,38,MOVE_1,NIGHT,43:30
88,40,45,84,0,49,39,MINE,NIGHT,44:00
89,41,45,82,1,50,39,MOVE_1,NIGHT,44:30
90,41,45,80,0,50,40,MINE,NIGHT,45:00
91,40,46,78,1,51,40,MOVE_1,NIGHT,45:30
92,40,46,76,0,51,41,MINE,NIGHT,46:00
93,40,47,74,1,52,41,MOVE_1,NIGHT,46:30
